device,s1,s2,s3,s4,sum,sum-squared,time-ms,state
ctrl2_80bpm,627,85,628,666,0,0,0,0
ctrl2_80bpm,627,90,613,672,0,0,0,0
ctrl2_80bpm,659,92,639,677,0,0,0,0
ctrl2_80bpm,678,92,671,673,0,0,0,0
ctrl2_80bpm,670,90,665,667,0,0,0,0
ctrl2_80bpm,667,91,661,663,0,0,0,0
ctrl2_80bpm,719,97,743,659,0,0,0,0
ctrl2_80bpm,700,92,744,656,0,0,0,0
ctrl2_80bpm,661,84,684,653,0,0,0,0
ctrl2_80bpm,632,83,620,656,0,0,0,0
ctrl2_80bpm,647,89,612,660,0,0,0,0
ctrl2_80bpm,666,94,639,657,0,0,0,0
ctrl2_80bpm,654,92,647,657,0,0,0,0
ctrl2_80bpm,649,90,652,659,0,0,0,0
ctrl2_80bpm,649,91,653,657,0,0,0,0
ctrl2_80bpm,661,92,666,658,0,0,0,0
ctrl2_80bpm,665,92,671,659,0,0,0,0
ctrl2_80bpm,673,90,681,660,0,0,0,0
ctrl2_80bpm,675,89,679,662,0,0,0,0
ctrl2_80bpm,676,85,674,660,0,0,0,0
ctrl2_80bpm,676,85,661,663,0,0,0,0
ctrl2_80bpm,684,84,674,664,0,0,0,0
ctrl2_80bpm,683,82,671,664,0,0,0,0
ctrl2_80bpm,669,80,670,663,0,0,0,0
ctrl2_80bpm,673,84,677,671,0,0,0,0
ctrl2_80bpm,676,86,680,669,0,0,0,0
ctrl2_80bpm,669,89,669,667,0,0,0,0
ctrl2_80bpm,674,95,671,668,0,0,0,0
ctrl2_80bpm,681,92,680,668,0,0,0,0
ctrl2_80bpm,681,86,684,665,0,0,0,0
ctrl2_80bpm,665,88,674,663,0,0,0,0
ctrl2_80bpm,655,88,661,665,0,0,0,0
ctrl2_80bpm,669,92,675,669,0,0,0,0
ctrl2_80bpm,680,91,689,671,0,0,0,0
ctrl2_80bpm,655,88,663,665,0,0,0,0
ctrl2_80bpm,660,90,656,669,0,0,0,0
ctrl2_80bpm,683,92,671,669,0,0,0,0
ctrl2_80bpm,692,92,689,666,0,0,0,0
ctrl2_80bpm,683,92,688,661,0,0,0,0
ctrl2_80bpm,673,91,701,665,0,0,0,0
ctrl2_80bpm,684,92,735,663,0,0,0,0
ctrl2_80bpm,686,92,759,660,0,0,0,0
ctrl2_80bpm,708,96,813,660,0,0,0,0
ctrl2_80bpm,713,93,837,659,0,0,0,0
ctrl2_80bpm,696,87,836,661,0,0,0,0
ctrl2_80bpm,681,90,929,663,0,0,0,0
ctrl2_80bpm,673,101,1023,663,0,0,0,0
ctrl2_80bpm,905,1023,1023,851,0,0,0,0
ctrl2_80bpm,835,1023,1023,838,0,0,0,0
ctrl2_80bpm,612,1023,1023,659,0,0,0,0
ctrl2_80bpm,652,356,1023,665,0,0,0,0
ctrl2_80bpm,724,174,1023,672,0,0,0,0
ctrl2_80bpm,772,114,1019,679,0,0,0,0
ctrl2_80bpm,750,93,915,674,0,0,0,0
ctrl2_80bpm,691,84,780,673,0,0,0,0
ctrl2_80bpm,655,86,708,676,0,0,0,0
ctrl2_80bpm,648,90,702,682,0,0,0,0
ctrl2_80bpm,661,93,745,688,0,0,0,0
ctrl2_80bpm,662,93,776,691,0,0,0,0
ctrl2_80bpm,656,90,764,681,0,0,0,0
ctrl2_80bpm,660,89,740,681,0,0,0,0
ctrl2_80bpm,670,90,715,676,0,0,0,0
ctrl2_80bpm,676,94,755,669,0,0,0,0
ctrl2_80bpm,675,97,930,663,0,0,0,0
ctrl2_80bpm,662,96,1023,656,0,0,0,0
ctrl2_80bpm,657,93,1023,657,0,0,0,0
ctrl2_80bpm,656,89,1023,656,0,0,0,0
ctrl2_80bpm,655,86,987,652,0,0,0,0
ctrl2_80bpm,639,86,885,648,0,0,0,0
ctrl2_80bpm,632,88,818,649,0,0,0,0
ctrl2_80bpm,639,89,803,651,0,0,0,0
ctrl2_80bpm,656,86,793,650,0,0,0,0
ctrl2_80bpm,653,84,751,652,0,0,0,0
ctrl2_80bpm,647,83,706,633,0,0,0,0
ctrl2_80bpm,632,80,655,633,0,0,0,0
ctrl2_80bpm,620,76,617,633,0,0,0,0
ctrl2_80bpm,636,83,609,633,0,0,0,0
ctrl2_80bpm,617,81,576,636,0,0,0,0
ctrl2_80bpm,564,83,526,638,0,0,0,0
ctrl2_80bpm,527,84,508,639,0,0,0,0
ctrl2_80bpm,519,90,527,660,0,0,0,0
ctrl2_80bpm,549,92,550,665,0,0,0,0
ctrl2_80bpm,580,88,511,671,0,0,0,0
ctrl2_80bpm,607,82,409,672,0,0,0,0
ctrl2_80bpm,622,84,307,675,0,0,0,0
ctrl2_80bpm,529,77,230,670,0,0,0,0
ctrl2_80bpm,161,60,244,652,0,0,0,0
ctrl2_80bpm,0,76,340,625,0,0,0,0
ctrl2_80bpm,0,78,383,613,0,0,0,0
ctrl2_80bpm,0,73,329,603,0,0,0,0
ctrl2_80bpm,0,69,208,620,0,0,0,0
ctrl2_80bpm,0,68,59,646,0,0,0,0
ctrl2_80bpm,0,72,0,667,0,0,0,0
ctrl2_80bpm,0,76,0,829,0,0,0,0
ctrl2_80bpm,1023,1023,72,1023,62,0,0,0
ctrl2_80bpm,1023,1023,178,1023,62,0,0,0
ctrl2_80bpm,1023,1023,191,1023,62,0,0,0
ctrl2_80bpm,1023,1023,178,1023,62,0,0,0
ctrl2_80bpm,1023,1023,177,1023,62,0,0,0
ctrl2_80bpm,1023,1023,177,1023,62,0,0,0
ctrl2_80bpm,1023,1023,179,1023,62,0,0,0
ctrl2_80bpm,1023,1023,169,1023,62,0,0,0
ctrl2_80bpm,1023,1023,171,1023,62,0,0,0
ctrl2_80bpm,1023,1023,171,1023,62,0,0,0
ctrl2_80bpm,1023,1023,171,1023,62,0,0,0
ctrl2_80bpm,1023,1023,168,1023,62,0,0,0
ctrl2_80bpm,1023,1023,175,1023,62,72,0,0
ctrl2_80bpm,1023,1023,171,1023,62,72,0,0
ctrl2_80bpm,1023,1023,176,1023,62,72,0,0
ctrl2_80bpm,1023,1023,180,1023,62,72,0,0
ctrl2_80bpm,1023,1023,178,1023,62,72,0,0
ctrl2_80bpm,0,504,0,12,62,72,0,0
ctrl2_80bpm,0,213,0,0,62,72,0,0
ctrl2_80bpm,0,101,0,0,62,72,0,0
ctrl2_80bpm,0,84,0,0,62,72,0,0
ctrl2_80bpm,0,81,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,78,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,80,0,0,62,72,0,0
ctrl2_80bpm,0,77,0,0,62,72,0,0
ctrl2_80bpm,0,78,0,0,62,72,0,0
ctrl2_80bpm,0,73,0,0,62,72,0,0
ctrl2_80bpm,0,77,0,0,62,72,0,0
ctrl2_80bpm,0,77,0,0,62,72,0,0
ctrl2_80bpm,0,78,0,0,62,72,0,0
ctrl2_80bpm,0,82,0,1023,62,72,0,56
ctrl2_80bpm,91,1023,65,1023,62,72,0,56
ctrl2_80bpm,88,1023,60,1023,62,72,0,56
ctrl2_80bpm,80,1023,54,1023,62,72,0,56
ctrl2_80bpm,80,1023,52,1023,62,72,0,56
ctrl2_80bpm,84,1023,46,1023,62,72,0,56
ctrl2_80bpm,83,1023,60,1023,62,72,0,56
ctrl2_80bpm,86,1023,64,1023,62,72,0,56
ctrl2_80bpm,76,1023,60,1023,62,72,0,56
ctrl2_80bpm,81,1023,60,1023,62,72,0,56
ctrl2_80bpm,73,1023,84,1023,62,72,0,56
ctrl2_80bpm,84,1023,75,1023,62,72,0,56
ctrl2_80bpm,88,1023,83,1023,62,72,0,56
ctrl2_80bpm,76,1023,80,1023,62,72,0,56
ctrl2_80bpm,89,1023,54,1023,62,75,0,56
ctrl2_80bpm,73,1023,70,1023,62,75,0,56
ctrl2_80bpm,0,412,0,0,62,75,0,56
ctrl2_80bpm,0,176,0,0,62,75,0,56
ctrl2_80bpm,0,96,0,0,62,75,0,56
ctrl2_80bpm,0,83,0,0,62,75,0,56
ctrl2_80bpm,0,82,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,81,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,78,0,0,62,75,0,56
ctrl2_80bpm,0,80,0,0,62,75,0,56
ctrl2_80bpm,0,81,0,0,62,75,0,56
